,temperature,wind,time
2015-08-01 00:00:00,26.7,26.9,12:51 AM
2015-08-01 01:00:00,26.1,14.4,1:51 AM
2015-08-01 02:00:00,26.1,13.9,2:51 AM
2015-08-01 03:00:00,25.6,13.9,3:51 AM
2015-08-01 04:00:00,25.0,15.0,4:51 AM
2015-08-01 05:00:00,23.9,15.0,5:51 AM
2015-08-01 06:00:00,24.4,15.6,6:51 AM
2015-08-01 07:00:00,24.4,15.6,7:51 AM
2015-08-01 08:00:00,26.1,15.6,8:51 AM
2015-08-01 09:00:00,27.2,27.5,9:51 AM
2015-08-01 10:00:00,27.2,27.7,10:51 AM
2015-08-01 11:00:00,28.9,29.1,11:51 AM
2015-08-01 12:00:00,29.4,29.1,12:51 PM
2015-08-01 13:00:00,31.1,29.8,1:51 PM
2015-08-01 14:00:00,31.1,30.3,2:51 PM
2015-08-01 15:00:00,30.6,29.9,3:51 PM
2015-08-01 16:00:00,28.9,28.5,4:51 PM
2015-08-01 17:00:00,30.0,29.3,5:51 PM
2015-08-01 18:00:00,29.4,28.7,6:51 PM
2015-08-01 19:00:00,28.9,28.3,7:51 PM
2015-08-01 20:00:00,27.2,27.1,8:51 PM
2015-08-01 21:00:00,27.2,27.1,9:51 PM
2015-08-01 22:00:00,26.1,12.8,10:51 PM
2015-08-01 23:00:00,25.6,12.2,11:51 PM
2015-08-02 00:00:00,25.0,12.2,12:51 AM
2015-08-02 01:00:00,24.4,12.8,1:51 AM
2015-08-02 02:00:00,23.9,12.8,2:51 AM
2015-08-02 03:00:00,23.3,12.8,3:51 AM
2015-08-02 04:00:00,23.3,13.3,4:51 AM
2015-08-02 05:00:00,21.7,13.3,5:51 AM
2015-08-02 06:00:00,21.7,15.0,6:51 AM
2015-08-02 07:00:00,23.3,13.9,7:51 AM
2015-08-02 08:00:00,24.4,13.9,8:51 AM
2015-08-02 09:00:00,26.7,27.0,9:51 AM
2015-08-02 10:00:00,27.8,27.4,10:51 AM
2015-08-02 11:00:00,30.0,29.0,11:51 AM
2015-08-02 12:00:00,31.1,29.9,12:51 PM
2015-08-02 13:00:00,31.1,10.6,1:51 PM
2015-08-02 14:00:00,31.1,10.6,2:51 PM
2015-08-02 15:00:00,30.0,29.3,3:51 PM
2015-08-02 16:00:00,29.4,29.1,4:51 PM
2015-08-02 17:00:00,28.3,28.2,5:51 PM
2015-08-02 18:00:00,28.3,28.1,6:51 PM
2015-08-02 19:00:00,27.2,27.6,7:51 PM
2015-08-02 20:00:00,26.1,16.1,8:51 PM
2015-08-02 21:00:00,25.6,16.1,9:51 PM
2015-08-02 22:00:00,25.6,16.1,10:51 PM
2015-08-02 23:00:00,26.1,13.3,11:51 PM
2015-08-03 00:00:00,26.1,12.8,12:51 AM
2015-08-03 01:00:00,25.6,13.9,1:51 AM
2015-08-03 02:00:00,25.0,13.9,2:51 AM
